  -1493    3445    7448     -165   -4083    -185       24     -52     -47
  -1479    3458    7447      -86   -4020    -238       69     -58     -63
  -1479    3458    7447      -73   -4123    -170       84     -65     -81
  -1479    3458    7447     -116   -4090    -218       43     -49     -38
  -1479    3458    7447      -77   -4097    -178       46     -44     -47
  -1479    3458    7447      -82   -4072    -219       66     -58     -42
  -1478    3433    7411      -93   -4093    -155       69     -51     -69
  -1478    3433    7411      -89   -4077    -219       59     -53     -53
  -1478    3433    7411      -90   -4058    -190       57     -58     -55
  -1478    3433    7411      -90   -4092    -222       62     -51     -55
  -1478    3433    7411      -69   -4075    -221       66     -61     -47
  -1486    3432    7452      -90   -4096    -195       59     -45     -52
  -1486    3432    7452      -97   -4104    -195       56     -46     -57
  -1486    3432    7452      -89   -4119    -172       61     -52     -55
  -1486    3432    7452      -96   -4100    -205       64     -52     -56
  -1474    3463    7424      -98   -4088    -200       65     -55     -49
  -1474    3463    7424     -106   -4116    -178       60     -64     -50
  -1474    3463    7424      -98   -4072    -214       61     -57     -32
  -1474    3463    7424      -95   -4087    -209       62     -58     -56
  -1474    3463    7424     -103   -4073    -239       61     -53     -44
  -1497    3432    7455     -103   -4063    -195       67     -56     -45
  -1497    3432    7455     -110   -4086    -186       64     -55     -39
  -1497    3432    7455     -109   -4069    -182       53     -57     -45
  -1497    3432    7455      -96   -4088    -198       63     -42     -70
  -1497    3432    7455     -114   -4094    -217       65     -61     -78
  -1486    3455    7479     -126   -4088    -136       63     -59     -66
  -1486    3455    7479      -73   -4083    -179       64     -57     -66
  -1486    3455    7479      -97   -4081    -207       56     -73     -41
  -1486    3455    7479      -94   -4064    -238       61     -51     -41
  -1486    3455    7479      -66   -4080    -187       64     -59     -49
  -1502    3470    7479     -118   -4088    -213       55     -63     -38
  -1502    3470    7479     -105   -4109    -183       46     -62     -38
  -1502    3470    7479      -95   -4067    -204       63     -51     -54
  -1502    3470    7479     -110   -4100    -204       62     -59     -61
  -1502    3470    7479     -137   -4055    -187       59     -59     -54
  -1493    3483    7517      -90   -4096    -160       65     -58     -74
  -1493    3483    7517      -63   -4091    -200       63     -56     -60
  -1493    3483    7517     -104   -4084    -218       58     -60     -45
  -1493    3483    7517      -68   -4084    -188       59     -64     -59
  -1493    3483    7517      -99   -4095    -204       58     -67     -52
  -1488    3442    7480     -115   -4097    -180       60     -61     -51
  -1488    3442    7480     -110   -4104    -214       64     -63     -38
  -1488    3442    7480      -73   -4073    -214       63     -53     -55
  -1488    3442    7480      -90   -4080    -194       57     -61     -29
  -1488    3442    7480      -89   -4071    -194       61     -63     -55
  -1474    3424    7473      -96   -4104    -218       59     -40     -45
  -1474    3424    7473      -91   -4067    -232       59     -49     -57
  -1474    3424    7473      -81   -4095    -246       57     -53     -55
  -1474    3424    7473      -80   -4082    -205       70     -51     -69
  -1492    3453    7473     -109   -4095    -218       66     -48     -71
  -1492    3453    7473     -106   -4112    -230       61     -63     -56
  -1492    3453    7473      -92   -4092    -187       63     -48     -53
  -1492    3453    7473      -86   -4084    -209       66     -57     -65
  -1492    3453    7473      -68   -4088    -195       56     -43     -40
  -1529    3458    7498     -102   -4078    -208       66     -49     -53
  -1529    3458    7498     -103   -4093    -173       60     -54     -45
  -1529    3458    7498      -78   -4344    -201       61     -56     -59
  -1529    3458    7498     -102   -4094    -181       66     -51     -64
  -1529    3458    7498      -91   -4069    -197       56     -63     -55
  -1480    3465    7517      -97   -4101    -201       57     -51     -49
  -1480    3465    7517      -88   -4074    -193       66     -48     -66
  -1480    3465    7517      -85   -4103    -211       66     -54     -60
  -1480    3465    7517     -100   -4070    -210       53     -60     -35
  -1480    3465    7517      -88   -4086    -229       64     -50     -66
  -1469    3449    7416      -95   -4073    -235       55     -54     -46
  -1469    3449    7416      -83   -4105    -196       58     -39     -40
  -1469    3449    7416      -53   -4087    -156       65     -65     -69
  -1469    3449    7416     -111   -4111    -188       63     -45     -41
  -1469    3449    7416      -97   -4075    -196       56     -57     -56
  -1530    3440    7449      -96   -4084    -176       57     -52     -43
  -1530    3440    7449      -86   -4064    -193       58     -46     -46
  -1530    3440    7449     -114   -4094    -189       64     -58     -63
  -1530    3440    7449      -78   -4080    -200       60     -61     -72
  -1530    3440    7449      -86   -4092    -204       63     -40     -36
  -1487    3421    7463      -96   -4072    -208       72     -63     -65
  -1487    3421    7463     -106   -4112    -190       51     -65     -48
  -1487    3421    7463      -87   -4081    -170       61     -56     -54
  -1487    3421    7463      -85   -4095    -194       70     -49     -65
